ANO,CODIGO_DEPARTAMENTO,DEPARTAMENTO,POBLACION_5_16,TASA_MATRICULACION_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICION,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICION,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMANO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCION,DESERCION_TRANSICION,DESERCION_PRIMARIA,DESERCION_SECUNDARIA,DESERCION_MEDIA,APROBACION,APROBACION_TRANSICION,APROBACION_PRIMARIA,APROBACION_SECUNDARIA,APROBACION_MEDIA,REPROBACION,REPROBACION_TRANSICION,REPROBACION_PRIMARIA,REPROBACION_SECUNDARIA,REPROBACION_MEDIA,REPITENCIA,REPITENCIA_TRANSICION,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2011,5,antioquia,1288473,0.9401,0.9385,0.7028,0.9412,0.7568,0.4437,1.0681,0.8569,1.175,1.1081,0.8406,27.47,0.7448,0.0397,0.0362,0.0365,0.0457,0.0371,0.9398,0.0007,0.9456,0.0457,0.9333,0.0206,0.0007,0.9456,0.0254,0.0296,0.0425,0.0007,0.0455999999999999,0.0527,0.0168
2011,8,atlantico,523935,0.9932,0.9905,0.5059,0.9893,0.8022,0.5017,1.0788,0.8419,1.2041,1.0789,0.8798,24.42,0.8046,0.0276,0.026,0.0306,0.0242,0.0260999999999999,0.967,0.0012,0.9649,0.0242,0.9664,0.0054,0.0012,0.9649,0.0067,0.0075,0.0182,0.0012,0.0177,0.0218,0.0088
2011,11,"bogota, d.c.",1479334,0.907,0.9029,0.6862999999999999,0.8698999999999999,0.847,0.5501,0.9778,0.8204,0.9794,1.0648,0.8776,26.75,0.9421,0.0395,0.1005,0.053,0.0196,0.0255,0.9605,0.0,0.9469,0.0196,0.9745,0.0,0.0,0.9469,0.0,0.0,0.0323,0.0,0.023,0.0511,0.0256999999999999
2011,13,bolivar,496676,0.9157,0.914,0.5974,0.9081,0.6734,0.3917,1.1041,0.9882,1.2645,1.0815,0.8064,20.8,0.3012,0.0314,0.0185,0.0293,0.0379,0.0313,0.9476,0.0046,0.9548,0.0379,0.932,0.021,0.0046,0.9548,0.0275,0.0366999999999999,0.0443,0.0046,0.0444,0.0537,0.0227999999999999
2011,15,boyaca,300501,0.8615999999999999,0.8611,0.6335999999999999,0.825,0.7465,0.4909,1.0415,0.7887000000000001,0.9988,1.1978,0.9476,22.77,0.2526,0.0306999999999999,0.024,0.0224,0.0403,0.0351,0.942,0.0017,0.961,0.0403,0.9323,0.0273,0.0017,0.961,0.0431,0.0326,0.0262,0.0017,0.019,0.0419,0.0155
2011,17,caldas,201185,0.8704000000000001,0.8698,0.6498999999999999,0.8386,0.7341,0.4538,0.9813,0.7719,1.0362,1.0393,0.8370000000000001,22.6,0.3474,0.0412999999999999,0.0435,0.0392,0.0487,0.0282,0.9062,0.003,0.9159,0.0487,0.9204,0.0525,0.003,0.9159,0.0725,0.0515,0.0467,0.003,0.0415,0.0655,0.0306999999999999
2011,18,caqueta,124148,0.8878,0.8876000000000001,0.5898,0.9031,0.5731,0.2544,1.0603,0.852,1.3059,1.016,0.6035,23.21,0.0801,0.0364,0.0339,0.0356,0.0391,0.0339,0.9606,0.0005,0.9634,0.0391,0.9345,0.003,0.0005,0.9634,0.0008,0.0315,0.0417,0.0005,0.037,0.0579999999999999,0.0287
2011,19,cauca,328682,0.8634999999999999,0.8621,0.5201,0.8794,0.6158,0.3044,0.9803,0.8181999999999999,1.1783,0.9424,0.6587000000000001,18.29,0.297,0.0275,0.0187,0.0196,0.0391,0.036,0.9253,0.0116999999999999,0.9277,0.0391,0.9177,0.0472,0.0116999999999999,0.9277,0.0464,0.0463,0.0209,0.0116999999999999,0.0175,0.0313,0.0157
2011,20,cesar,263789,0.9475,0.9457,0.6596,0.9522,0.6647,0.3497999999999999,1.1047,1.0565,1.2953,1.0596,0.7306999999999999,20.58,0.2902,0.0707,0.0516999999999999,0.0736,0.0762,0.0542,0.9054,0.0046,0.9102,0.0762,0.908,0.0239,0.0046,0.9102,0.0374,0.0378,0.0167,0.0046,0.0157,0.0219,0.0097
2011,23,cordoba,405431,0.9453,0.9446,0.6718000000000001,0.9322,0.6879000000000001,0.3716,1.1108,1.0369,1.2571,1.1067,0.7866,20.16,0.3525999999999999,0.0458999999999999,0.0545,0.0408,0.053,0.0409999999999999,0.9429,0.0022,0.9513,0.053,0.9319,0.0112,0.0022,0.9513,0.0137,0.0271,0.0407,0.0022,0.0418,0.0453,0.0243
2011,25,cundinamarca,570954,0.9213,0.9193,0.6718999999999999,0.8812000000000001,0.8138,0.4757,1.0334,0.8920999999999999,1.0603,1.1214,0.8621,17.76,0.3504,0.036,0.0348,0.0299,0.0431,0.0372,0.9558,0.0004,0.9662,0.0431,0.945,0.0089,0.0004,0.9662,0.0126,0.0192999999999999,0.027,0.0004,0.0199,0.0418,0.0178
2011,27,choco,145587,0.8379000000000001,0.8379000000000001,0.5017,0.8640000000000001,0.413,0.1964,1.1017,0.77,1.5046000000000002,0.8906000000000001,0.6313,17.86,0.1388,0.0429,0.0289,0.0424,0.0504999999999999,0.0359,0.935,0.0007,0.9419,0.0504999999999999,0.935,0.0220999999999999,0.0007,0.9419,0.0425,0.0291,0.0042,0.0007,0.006,0.0026,0.0007
2011,41,huila,275956,0.9052,0.9047,0.6990000000000001,0.9231,0.735,0.3849,1.0113,0.8747,1.1341,1.0454,0.7111,22.28,0.3028,0.0438,0.04,0.032,0.06,0.0499,0.9239,0.0011,0.9435,0.06,0.8967,0.0324,0.0011,0.9435,0.0446,0.0533999999999999,0.0436,0.0011,0.0441,0.0559,0.0241
2011,44,la guajira,231046,0.7712,0.77,0.4461,0.7468,0.4156,0.2191,0.894,0.8456,1.1907,0.6803,0.4982999999999999,20.22,0.3494,0.0617,0.042,0.0630999999999999,0.0704,0.0465,0.9278,0.0046,0.9258,0.0704,0.9307,0.0107,0.0046,0.9258,0.0078,0.0227999999999999,0.0385,0.0046,0.0449,0.0344,0.0146
2011,47,magdalena,333793,0.9447,0.9432,0.5539999999999999,0.909,0.6653,0.3754999999999999,1.1051,1.0971,1.2912,1.031,0.7584000000000001,21.3,0.2763,0.0363,0.0224,0.0345,0.0409999999999999,0.0437,0.9498,0.0042,0.9512,0.0409999999999999,0.9355,0.0139,0.0042,0.9512,0.0141,0.0208,0.0152,0.0042,0.0144,0.0199,0.0065
2011,50,meta,209319,0.9365,0.9359,0.6146,0.9235,0.7589,0.4079,1.0282,0.8290000000000001,1.1506,1.0618,0.7526,22.79,0.2442,0.0555,0.0512,0.0558,0.0615,0.038,0.9308,0.0007,0.9339,0.0615,0.939,0.0137,0.0007,0.9339,0.0185,0.023,0.0148,0.0007,0.0127,0.0226,0.009
