ANO,CODIGO_MUNICIPIO,MUNICIPIO,CODIGO_DEPARTAMENTO,DEPARTAMENTO,CODIGO_ETC,ETC,POBLACION_5_16,TASA_MATRICULACION_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICION,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICION,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMANO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCION,DESERCION_TRANSICION,DESERCION_PRIMARIA,DESERCION_SECUNDARIA,DESERCION_MEDIA,APROBACION,APROBACION_TRANSICION,APROBACION_PRIMARIA,APROBACION_SECUNDARIA,APROBACION_MEDIA,REPROBACION,REPROBACION_TRANSICION,REPROBACION_PRIMARIA,REPROBACION_SECUNDARIA,REPROBACION_MEDIA,REPITENCIA,REPITENCIA_TRANSICION,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA,flag_cambio_nivel
2023,5004,abriaqui,5,antioquia,3758.0,antioquia (etc),503.0,0.6262,0.6262,0.4418999999999999,0.6333,0.5153,0.4023,0.6679999999999999,0.5814,0.7286,0.6687000000000001,0.5632,,,0.0118999999999999,0.0,0.0131,0.0,0.0408,0.9226,0.0,0.9673,0.8349,0.9388,0.0655,0.0,0.0196,0.1651,0.0204,0.0951999999999999,0.0,0.1046,0.1376,0.0204,False
2023,95025,el retorno,95,guaviare,3830.0,guaviare (etc),4438.0,0.5327000000000001,0.5327000000000001,0.3390999999999999,0.4889,0.449,0.213,0.6297999999999999,0.542,0.6518999999999999,0.696,0.4854,,,0.0556,0.0695,0.0499,0.0611,0.0526,0.8767,0.0,0.879,0.845,0.9298,0.0678,0.0,0.0711,0.0939,0.0175,0.0934,0.0695,0.1184,0.0848,0.0316,False
2023,95200,miraflores,95,guaviare,3830.0,guaviare (etc),2014.0,0.3252,0.3252,0.1757999999999999,0.2532999999999999,0.2643,0.1075,0.3858,0.3636,0.3728,0.461,0.2616,,,0.0785,0.15,0.0843,0.0636,0.0469,0.8268000000000001,0.0333,0.8464,0.7951,0.875,0.0947,0.0333,0.0693,0.1413,0.0781,0.0865,0.0667,0.0904,0.1025,0.0154,False
2023,97001,mitu,97,vaupes,3831.0,vaupes (etc),10986.0,0.5957,0.5957,0.4276,0.5595,0.4351,0.1705999999999999,0.7065,0.649,0.7696,0.7292000000000001,0.5312,,,0.0395,0.0227,0.0184,0.0677,0.0547,0.9071,0.0056999999999999,0.9412,0.8491,0.8993000000000001,0.0533999999999999,0.0056999999999999,0.0404,0.0833,0.046,0.1618,0.0775,0.2104,0.1384,0.0718,False
2023,97161,caruru,97,vaupes,3831.0,vaupes (etc),1228.0,0.513,0.513,0.7631999999999999,0.5229,0.3371,0.1193999999999999,0.5554,0.9211,0.6520999999999999,0.5112,0.2736,,,0.0836,0.0429,0.0305,0.1572,0.1455,0.8240000000000001,0.0,0.8963,0.69,0.7818,0.0924,0.0,0.0732,0.1528,0.0727,0.0924,0.0286,0.0762,0.1485,0.0364,False
2023,97511,pacoa,97,vaupes,3831.0,vaupes (etc),1678.0,0.5428999999999999,0.5428999999999999,0.1543999999999999,0.5569,0.2491,0.0462,0.7139,0.3893,1.003,0.6792,0.3003,,,0.0535,0.0,0.0716,0.0265,0.0659,0.9465,0.0,0.9284,0.9735,0.9341,0.0,0.0,0.0,0.0,0.0,0.2321,0.2586,0.303,0.1425,0.0659,False
2023,97666,taraira,97,vaupes,3831.0,vaupes (etc),814.0,0.226,0.226,0.1429,0.3497999999999999,0.0,0.0,0.2334,0.2380999999999999,0.5776,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2158,0.1333,0.2229,0.0,0.0,False
2023,97777,papunaua,97,vaupes,3831.0,vaupes (etc),209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2023,97889,yavarate,97,vaupes,3831.0,vaupes (etc),561.0,0.4795,0.4795,0.6875,0.5219,0.2584,0.1304,0.5205,1.0,0.6973999999999999,0.3636,0.2717,,,0.0445,0.0,0.0189,0.0658,0.2,0.9555,0.0,0.9811,0.9342,0.8,0.0,0.0,0.0,0.0,0.0,0.1233,0.0313,0.195,0.0395,0.04,False
2023,99001,puerto carreno,99,vichada,3832.0,vichada (etc),4641.0,1.4452,1.4452,1.1444,1.6278,0.7848,0.3346,1.585,1.4545,2.2567,1.2255,0.7543000000000001,,,0.0581,0.0554,0.0612,0.0579999999999999,0.033,0.8093,0.0,0.8092,0.7536,0.8789,0.1326,0.0,0.1296,0.1884,0.0881,0.1118,0.0081999999999999,0.1325,0.1045,0.0639,False
2023,99524,la primavera,99,vichada,3832.0,vichada (etc),2659.0,0.9594,0.9594,0.7337,1.0236,0.6071,0.2968,1.0545,1.087,1.3563,0.9433,0.5828,,,0.0644,0.0776999999999999,0.0487999999999999,0.0902,0.0516999999999999,0.8332999999999999,0.0,0.8166,0.8207,0.9004000000000001,0.1023,0.0,0.1346,0.0891,0.048,0.1398,0.0155,0.1937,0.118,0.0148,False
2023,99624,santa rosalia,99,vichada,3832.0,vichada (etc),1159.0,0.8387,0.8387,0.6494,0.8573999999999999,0.5405,0.2775,0.931,1.1169,1.1281,0.8378,0.555,,,0.0491,0.0465,0.0403,0.0645,0.0472,0.8526,0.0,0.8828,0.7565999999999999,0.9245,0.0982,0.0,0.0769,0.1789,0.0283,0.1399,0.0,0.1648,0.1701,0.0283,False
2023,99773,cumaribo,99,vichada,3832.0,vichada (etc),25357.0,0.4985,0.4985,0.3818999999999999,0.5731,0.1607,0.0395999999999999,0.5618,0.5567,0.8714,0.3616,0.1687999999999999,,,0.075,0.0572,0.0751999999999999,0.0861,0.0513,0.7605,0.0009,0.7112999999999999,0.8151999999999999,0.8974,0.1644999999999999,0.0009,0.2135,0.0987,0.0513,0.2127,0.0052,0.2783,0.1186999999999999,0.0655999999999999,False
2023,95001,san jose del guaviare,95,guaviare,3830.0,guaviare (etc),13980.0,0.9057,0.9054,0.5489,0.835,0.7282,0.4081,1.0876,0.9307,1.1589,1.1222,0.9192,,,0.0587,0.0841,0.0495,0.0751,0.0308,0.8504,0.0032,0.8820999999999999,0.768,0.9125,0.0909,0.0032,0.0684,0.1568999999999999,0.0567,0.1084,0.0683,0.1144,0.1361,0.0192,False
2023,94887,pana pana,94,guainia,3829.0,guainia (etc),718.0,0.3732999999999999,0.3732999999999999,0.3014,0.3993,0.1119999999999999,0.0,0.4485,0.3973,0.7253000000000001,0.3089,0.1326999999999999,,,0.0279999999999999,0.0,0.0101,0.0875,0.0,0.8851,0.0,0.9242,0.725,1.0,0.087,0.0,0.0657,0.1875,0.0,0.3137,0.0,0.4293,0.1875,0.0667,False
2023,94886,cacahual,94,guainia,3829.0,guainia (etc),388.0,0.8170000000000001,0.8170000000000001,0.76,0.6865000000000001,0.0806,0.0,0.8428,1.12,1.4703,0.2177,0.0,,,0.0765,0.0356999999999999,0.0882,0.0,0.0,0.7768,0.0,0.7390000000000001,0.963,0.0,0.1467999999999999,0.0,0.1728,0.037,0.0,0.2171,0.0,0.2573999999999999,0.037,0.0,False
2023,94885,la guadalupe,94,guainia,3829.0,guainia (etc),112.0,0.5,0.5,0.3,0.7115,0.0,0.0,0.5089,0.4,1.0192,0.0,0.0,,,0.0526,0.0,0.0566,0.0,0.0,0.7895,0.0,0.7736,0.0,0.0,0.1578999999999999,0.0,0.1698,0.0,0.0,0.2105,0.0,0.2264,0.0,0.0,False
2023,94884,puerto colombia,94,guainia,3829.0,guainia (etc),754.0,0.7653,0.7653,0.3478,0.8270000000000001,0.0901,0.009,0.8289,0.8841,1.4780000000000002,0.2017,0.1171,,,0.0751999999999999,0.0492,0.0516,0.3191,0.2307999999999999,0.7023999999999999,0.0,0.6766,0.6383,0.7692,0.2224,0.0,0.2718,0.0426,0.0,0.2784,0.0492,0.3115,0.2339999999999999,0.2307999999999999,False
2023,94883,san felipe,94,guainia,3829.0,guainia (etc),671.0,0.5961,0.5961,0.2535,0.6173,0.113,0.0645,0.6706,0.5775,1.0939,0.3652,0.2366,,,0.16,0.0732,0.1682999999999999,0.2024,0.0455,0.7289,0.0,0.6733,0.7737999999999999,0.9545,0.1110999999999999,0.0,0.1583999999999999,0.0237999999999999,0.0,0.1844,0.0487999999999999,0.2475,0.0713999999999999,0.0,False
2023,94343,barranco minas,94,guainia,3829.0,guainia (etc),4041.0,0.6607,0.6607,0.6301,0.6703,0.3440999999999999,0.103,0.7793000000000001,0.7168000000000001,0.9589,0.7003,0.493,,,0.0362,0.0323,0.0206,0.0603,0.0506,0.8364,0.0,0.838,0.7966,0.8418000000000001,0.1274,0.0,0.1415,0.1432,0.1076,0.0975,0.004,0.1263,0.0925,0.0348,False
2023,94001,inirida,94,guainia,3829.0,guainia (etc),9673.0,0.7742,0.7733,0.727,0.7375,0.4535,0.1311,0.8934000000000001,1.0692,1.0859,0.8248000000000001,0.4778,,,0.0642,0.0675,0.0508,0.0929,0.0366,0.8112,0.0146,0.8157,0.7511,0.8901,0.1246,0.0146,0.1335,0.156,0.0733,0.1619,0.0847,0.1835999999999999,0.1725,0.0611,False
2023,91798,tarapaca,91,amazonas,3828.0,amazonas (etc),1327.0,0.5004,0.5004,0.3394,0.6202000000000001,0.1996,0.0308,0.5516,0.7156,0.8771,0.352,0.0837,,,0.0219,0.0,0.0021,0.0828,0.1052999999999999,0.9016,0.0,0.9854,0.6751999999999999,0.2632,0.0765,0.0,0.0126,0.242,0.6315999999999999,0.2609,0.0128,0.2887,0.293,0.3157999999999999,False
2023,91669,puerto santander,91,amazonas,3828.0,amazonas (etc),618.0,0.6375,0.6375,0.7234,0.7803,0.271,0.1183,0.6973999999999999,1.1489,0.9811,0.4159,0.3118,,,0.0095,0.0185,0.0039,0.0225,0.0,0.9548,0.0,0.9653,0.8989,1.0,0.0356999999999999,0.0,0.0308999999999999,0.0787,0.0,0.1667,0.0185,0.1969,0.1685,0.1667,False
2023,91540,puerto narino,91,amazonas,3828.0,amazonas (etc),3232.0,0.5507,0.5507,0.3774,0.5398,0.3901,0.1628,0.6318,0.7315,0.7334,0.5882999999999999,0.4138,,,0.0967,0.0584999999999999,0.0759,0.1227999999999999,0.1543,0.7827,0.0,0.789,0.7225,0.7926000000000001,0.1206,0.0,0.1351,0.1547,0.0532,0.1537,0.0584999999999999,0.1861,0.1675,0.0372,False
2023,91536,puerto arica,91,amazonas,3828.0,amazonas (etc),274.0,0.8393999999999999,0.8393999999999999,0.4443999999999999,0.871,0.5595,0.2051,0.9526,0.8148000000000001,1.2016,0.7976000000000001,0.5897,,,0.0,0.0,0.0,0.0,0.0,0.9962,0.0,0.9933,1.0,1.0,0.0038,0.0,0.0067,0.0,0.0,0.1149,0.0,0.1275,0.1045,0.1739,False
2023,91530,puerto alegria,91,amazonas,3828.0,amazonas (etc),211.0,0.654,0.654,0.4090999999999999,0.6364,0.375,0.0,0.6872,0.7726999999999999,0.9697,0.5,0.0,,,0.0138,0.0,0.0,0.0625,0.0,0.9103,0.0,0.9063,0.875,0.0,0.0759,0.0,0.0938,0.0625,0.0,0.1862,0.2941,0.1979,0.0938,0.0,False
2023,91460,miriti - parana,91,amazonas,3828.0,amazonas (etc),571.0,0.4939,0.4939,0.1163,0.5411,0.2713,0.1101,0.5884,0.3953,0.7835,0.5318999999999999,0.3486,,,0.1042,0.0588,0.0220999999999999,0.21,0.2368,0.8957999999999999,0.0,0.9779,0.79,0.7631999999999999,0.0,0.0,0.0,0.0,0.0,0.125,0.1765,0.1105,0.18,0.0263,False
2023,91430,la victoria,91,amazonas,3828.0,amazonas (etc),169.0,0.142,0.142,0.2353,0.1549,0.0,0.0,0.142,0.2941,0.2676,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.2,0.1578999999999999,0.0,0.0,False
2023,91407,la pedrera,91,amazonas,3828.0,amazonas (etc),1203.0,0.6717,0.6717,0.5567,0.7759999999999999,0.3495,0.1907,0.7997,1.1753,1.008,0.6117,0.4742,,,0.0077,0.0,0.0,0.0132,0.0615,0.9714,0.0,0.994,0.9295,0.8923000000000001,0.0209,0.0,0.006,0.0573,0.0462,0.1297,0.0263,0.2024,0.0484999999999999,0.0308,False
2023,91405,la chorrera,91,amazonas,3828.0,amazonas (etc),1197.0,0.5004,0.5004,0.4875,0.4503,0.3393,0.099,0.5781000000000001,0.675,0.6135,0.6173,0.3594,,,0.0538,0.0,0.0245,0.1135999999999999,0.04,0.8432999999999999,0.0556,0.8593000000000001,0.8,0.82,0.1028999999999999,0.0556,0.1162,0.0864,0.14,0.2642,0.0556,0.2477,0.3727,0.12,False
2023,91263,el encanto,91,amazonas,3828.0,amazonas (etc),656.0,0.4909,0.4909,0.1636,0.5805,0.3274,0.1712,0.5259,0.3273,0.7341,0.4484,0.2793,,,0.0816,0.1110999999999999,0.0153,0.17,0.2069,0.898,0.0,0.9745,0.78,0.7931,0.0204,0.0,0.0102,0.05,0.0,0.0962,0.0,0.0917999999999999,0.14,0.0345,False
2023,91001,leticia,91,amazonas,3828.0,amazonas (etc),13789.0,0.8972,0.8969,0.556,0.8946999999999999,0.6858,0.3577,1.0345,0.9343,1.1088,1.0578,0.8459,,,0.0479,0.0684999999999999,0.0348,0.0558,0.0653,0.8847,0.0,0.9038,0.8534,0.866,0.0674,0.0,0.0613999999999999,0.0908,0.0687,0.1217999999999999,0.046,0.1365,0.1445,0.0455999999999999,False
2023,88564,providencia,88,"archipielago de san andres, providencia y santa catalina",3827.0,"archipielago de san andres, providencia y santa catalina (etc)",1127.0,0.7844,0.7844,0.7283,0.7092,0.687,0.5943999999999999,0.8243,0.8804000000000001,0.8012999999999999,0.8301999999999999,0.8443999999999999,,,0.0108,0.0123,0.0078,0.0128,0.0132,0.9473,0.0,0.9217,0.9553,0.9737,0.042,0.0,0.0705,0.0319,0.0132,0.071,0.0,0.0496,0.1085999999999999,0.0855,False
2023,88001,san andres,88,"archipielago de san andres, providencia y santa catalina",3827.0,"archipielago de san andres, providencia y santa catalina (etc)",9656.0,0.9805,0.9801,0.8042,0.967,0.8734999999999999,0.5343,1.0378,0.9363,1.0908,1.1074,0.8101999999999999,,,0.033,0.0295,0.0224,0.0458999999999999,0.0366999999999999,0.8842,0.0,0.9225,0.8154,0.8931999999999999,0.0828,0.0,0.0550999999999999,0.1386,0.0701,0.1184,0.0236,0.0975,0.1784,0.0756,False
2023,86885,villagarzon,86,putumayo,3826.0,putumayo (etc),5833.0,0.9813,0.9813,0.6384000000000001,0.9774,0.8148000000000001,0.4526,1.0615,0.969,1.1486,1.1037,0.8084,,,0.0608,0.0339,0.0405,0.095,0.0602,0.873,0.0045,0.9189,0.7834,0.8911,0.0663,0.0045,0.0405,0.1216,0.0487999999999999,0.1159999999999999,0.0385,0.0992,0.1681,0.0812,False
2023,86865,valle del guamuez,86,putumayo,3826.0,putumayo (etc),7438.0,0.98,0.9797,0.7959999999999999,0.9922,0.7744,0.5015,1.0844,1.2368,1.1717,1.0441,0.9079,,,0.0581,0.0725,0.0475,0.0736,0.0467999999999999,0.8792,0.0,0.9,0.8264,0.9075,0.0628,0.0,0.0525,0.1,0.0458,0.089,0.0274,0.088,0.1226,0.0487999999999999,False
2023,86760,santiago,86,putumayo,3826.0,putumayo (etc),1522.0,0.7582,0.7582,0.5652,0.7545999999999999,0.6278,0.4815,0.816,0.8695999999999999,0.8436,0.8220999999999999,0.6995999999999999,,,0.0483,0.0417,0.0144999999999999,0.092,0.0588,0.8929,0.0083,0.9618,0.7886,0.8765000000000001,0.0588,0.0083,0.0236,0.1193999999999999,0.0647,0.0588,0.0,0.0345,0.1168999999999999,0.0412,False
2023,86757,san miguel,86,putumayo,3826.0,putumayo (etc),4636.0,0.8845999999999999,0.8845999999999999,0.5885,0.8961,0.6884999999999999,0.4044,0.9786,1.1198,1.0915,0.9177,0.7481,,,0.0605,0.0612,0.0604,0.0739,0.0259,0.8886,0.0353,0.8969,0.8576,0.9223,0.0509,0.0353,0.0428,0.0684999999999999,0.0518,0.0762,0.0141,0.0889,0.0922,0.0339,False
2023,86755,san francisco,86,putumayo,3826.0,putumayo (etc),1159.0,0.6756,0.6756,0.4157,0.6998000000000001,0.5302,0.3768999999999999,0.7947,0.6742,0.778,0.8166,0.8442000000000001,,,0.0533,0.0667,0.0136,0.1049,0.0536,0.9083,0.0,0.9538,0.8315,0.9286,0.0384,0.0,0.0326,0.0637,0.0179,0.1003999999999999,0.0167,0.0408,0.161,0.1964,False
2023,86749,sibundoy,86,putumayo,3826.0,putumayo (etc),2960.0,0.9709,0.9703,0.7042,0.8432,0.8881999999999999,0.8427,1.0615,0.9208,0.9191,1.0967,1.3942,,,0.0319,0.0243999999999999,0.0178,0.0487,0.0288,0.9292,0.0,0.9634,0.8704999999999999,0.9593,0.039,0.0,0.0187,0.0808,0.0118999999999999,0.0583,0.0098,0.0421999999999999,0.0917999999999999,0.0424,False
2023,86573,leguizamo,86,putumayo,3826.0,putumayo (etc),8182.0,0.6017,0.6015999999999999,0.298,0.6112,0.4683,0.2246999999999999,0.66,0.5621,0.7748,0.6534,0.4108,,,0.0721,0.0678,0.0506,0.1027,0.0896,0.8815000000000001,0.0,0.8985,0.8404,0.8896,0.0463,0.0,0.051,0.0569,0.0208,0.1064,0.0352,0.1268,0.1027,0.0625,False
2023,86571,puerto guzman,86,putumayo,3826.0,putumayo (etc),9596.0,0.484,0.484,0.2799,0.4896999999999999,0.3575,0.1352,0.537,0.5462,0.6351,0.5338,0.2744,,,0.087,0.0632,0.0625,0.1325,0.0894,0.8468000000000001,0.0,0.877,0.7709,0.8591,0.0661,0.0,0.0605,0.0966,0.0515,0.1398,0.0339,0.1495,0.1659,0.084,False
2023,86569,puerto caicedo,86,putumayo,3826.0,putumayo (etc),3311.0,0.6735,0.6735,0.5035000000000001,0.7437,0.4903,0.2781,0.7112999999999999,0.8332999999999999,0.8640000000000001,0.6177,0.4401,,,0.0611,0.0708,0.0489,0.0776999999999999,0.0669,0.8854000000000001,0.0,0.9039,0.8445,0.8619,0.0535,0.0,0.0472,0.0776999999999999,0.0711,0.0896,0.0583,0.0928,0.1121,0.0418,False
2023,86568,puerto asis,86,putumayo,3826.0,putumayo (etc),14965.0,0.9189,0.9187,0.6255,0.8748999999999999,0.7492,0.3914999999999999,1.0866,1.03,1.0905,1.179,0.9235,,,0.0584999999999999,0.0572,0.0501999999999999,0.0736,0.0452,0.8408,0.0121999999999999,0.8714,0.7702,0.8785,0.1007,0.0121999999999999,0.0784,0.1562,0.0762,0.1105,0.0431,0.1201,0.1316,0.0484999999999999,False
2023,86320,orito,86,putumayo,3826.0,putumayo (etc),8938.0,0.9493,0.949,0.6154999999999999,0.9106,0.7859,0.49,1.0439,1.0318,1.0867,1.0769,0.8773000000000001,,,0.0523,0.0608999999999999,0.0392,0.0663,0.057,0.8648,0.0014,0.9157,0.7855,0.8466,0.0828,0.0014,0.0451,0.1483,0.0964,0.0934,0.0305,0.0855,0.1311,0.0621,False
2023,86219,colon,86,putumayo,3826.0,putumayo (etc),1003.0,0.7696999999999999,0.7696999999999999,0.4022,0.7193,0.7829999999999999,0.537,0.8225,0.7173999999999999,0.8005,0.9308,0.7284,,,0.0255,0.0,0.0174,0.0372,0.0339,0.937,0.0,0.942,0.9088,0.9576,0.0375999999999999,0.0,0.0406,0.0541,0.0085,0.0521,0.0605999999999999,0.0667,0.0438999999999999,0.0254,False
2023,86001,mocoa,86,putumayo,3826.0,putumayo (etc),11635.0,0.8454999999999999,0.8449,0.6092,0.8201,0.7132999999999999,0.4440999999999999,0.945,0.9013,0.9497,1.0211,0.8081,,,0.043,0.0288,0.0256999999999999,0.0715,0.0297,0.8748,0.0,0.9273,0.7841,0.8952,0.0822,0.0,0.047,0.1444,0.075,0.0892999999999999,0.0157,0.0715,0.1427,0.0453,False
2023,85440,villanueva,85,casanare,3825.0,casanare (etc),8074.0,0.9713,0.9713,0.7271,0.9617,0.8389,0.5801,1.039,0.9218,1.0902,1.08,0.8856,,,0.0484,0.0374,0.0458999999999999,0.0599,0.0318,0.8956999999999999,0.0,0.9141,0.8454999999999999,0.9274,0.0559,0.0,0.0401,0.0946,0.0409,0.0713,0.0107,0.0647,0.1101,0.0227,False
2023,85430,trinidad,85,casanare,3825.0,casanare (etc),3333.0,0.8869,0.8869,0.5842,0.8298000000000001,0.7495,0.4893,0.9634,0.7426,0.9848,1.0579,0.8369,,,0.0435,0.0489,0.0379,0.0532,0.035,0.8931999999999999,0.0,0.8855,0.8719,0.9461,0.0633,0.0,0.0766,0.0749,0.0189,0.1051,0.0089,0.1223,0.1133,0.0755,False
